prod_id,set_name,prod_desc,theme_name,piece_count,min_age,max_age,difficulty_level,num_reviews,star_rating,list_price
60123,Volcano Supply Helicopter,Fly in the exploration gear and fly out the crystals!,City,330,7.0,12.0,1,3.0,4.3,49.99
71246,Adventure Time™ Team Pack,Explore the Land of Ooo with Jake and Lumpy Space Princess!,DIMENSIONS™,96,7.0,14.0,1,3.0,4.7,30.362
10616,My First Playhouse,Learn about daily routines with this easy-to-build set!,DUPLO®,25,1.5,5.0,1,3.0,5.0,19.99
31079,Sunshine Surfer Van,Enjoy seaside fun with the 3-in-1 Sunshine Surfer Van set!,Creator 3-in-1,379,8.0,12.0,1,5.0,4.4,34.99
42057,Ultralight Helicopter,Take to the skies with the Ultralight Helicopter!,Technic,199,8.0,14.0,1,9.0,4.7,19.99
42078,Mack Anthem,Discover innovative design with the Mack Anthem truck and trailer!,Technic,2595,11.0,16.0,2,22.0,4.7,179.99
70905,The Batmobile,Pursue Man-Bat™ and the Kabuki Twins™ in the Batmobile with three driving modes!,THE LEGO® BATMAN MOVIE,581,8.0,14.0,2,20.0,4.8,59.99
10879,Gentle Giants Petting Zoo,See the baby dinosaurs at the Jurassic World Gentle Giants Petting Zoo!,DUPLO®,24,2.0,5.0,2,1.0,5.0,19.99
853638,THE LEGO® BATMAN MOVIE Batman™ Minifigure Collector Frame,Display THE LEGO® BATMAN MOVIE minifigures!,THE LEGO® BATMAN MOVIE,61,7.0,99.0,0,19.0,2.9,16.99
21030,United States Capitol Building,Explore the architecture of the United States Capitol Building!,Architecture,1032,12.0,99.0,2,23.0,4.6,99.99
75189,First Order Heavy Assault Walker™,Stride into battle with the First Order Heavy Assault Walker!,Star Wars™,1376,9.0,14.0,3,33.0,4.4,149.99
70636,Zane - Spinjitzu Master,Create the coolest Spinjitzu tricks with the Ice Ninja!,NINJAGO®,69,6.0,14.0,2,,,9.99
76055,Batman™: Killer Croc™ Sewer Smash,Bite back against Killer Croc™ with the Bat-Tank!,DC Comics™ Super Heroes,759,8.0,14.0,2,11.0,4.3,79.99
75533,Boba Fett™,Join the hunt with Boba Fett!,Star Wars™,144,8.0,14.0,2,4.0,4.8,29.99
70349,Ruina's Lock & Roller,Rescue the queen from Ruina’s Lock & Roller!,NEXO KNIGHTS™,208,8.0,14.0,2,2.0,4.5,19.99
75530,Chewbacca™,Lead the charge with Chewbacca!,Star Wars™,179,8.0,14.0,2,5.0,3.6,34.99
75159,Death Star™,Win the battle for the Empire with the awesome Death Star!,Star Wars™,4016,14.0,99.0,3,84.0,3.9,499.99
